,TRADE_DATE,VOLUME_FINANCE_SELL,VOLUME_INSURANCE_SELL,VOLUME_INVESTORTRUST_SELL,VOLUME_PRIVATE_SELL,VOLUME_BANK_SELL,VOLUME_OTHERFINANCE_SELL,VOLUME_OTHERFUND_SELL,VOLUME_OTHERCORPORATION_SELL,VOLUME_INDIVIDUAL_SELL,VOLUME_FOREIGNER_SELL,VOLUME_OTHERFORIGNER_SELL,STK_CODE,VOLUME_FINANCE_BUY,VOLUME_INSURANCE_BUY,VOLUME_INVESTORTRUST_BUY,VOLUME_PRIVATE_BUY,VOLUME_BANK_BUY,VOLUME_OTHERFINANCE_BUY,VOLUME_OTHERFUND_BUY,VOLUME_OTHERCORPORATION_BUY,VOLUME_INDIVIDUAL_BUY,VOLUME_FOREIGNER_BUY,VOLUME_OTHERFORIGNER_BUY,VOLUME_FINANCE_NET,VOLUME_INSURANCE_NET,VOLUME_INVESTORTRUST_NET,VOLUME_PRIVATE_NET,VOLUME_BANK_NET,VOLUME_OTHERFINANCE_NET,VOLUME_OTHERFUND_NET,VOLUME_OTHERCORPORATION_NET,VOLUME_INDIVIDUAL_NET,VOLUME_FOREIGNER_NET,VOLUME_OTHERFORIGNER_NET,TRADEVALUE_FINANCE_SELL,TRADEVALUE_INSURANCE_SELL,TRADEVALUE_INVESTORTRUST_SELL,TRADEVALUE_PRIVATE_SELL,TRADEVALUE_BANK_SELL,TRADEVALUE_OTHERFINANCE_SELL,TRADEVALUE_OTHERFUND_SELL,TRADEVALUE_OTHERCORPORATION_SELL,TRADEVALUE_INDIVIDUAL_SELL,TRADEVALUE_FOREIGNER_SELL,TRADEVALUE_OTHERFORIGNER_SELL,TRADEVALUE_FINANCE_BUY,TRADEVALUE_INSURANCE_BUY,TRADEVALUE_INVESTORTRUST_BUY,TRADEVALUE_PRIVATE_BUY,TRADEVALUE_BANK_BUY,TRADEVALUE_OTHERFINANCE_BUY,TRADEVALUE_OTHERFUND_BUY,TRADEVALUE_OTHERCORPORATION_BUY,TRADEVALUE_INDIVIDUAL_BUY,TRADEVALUE_FOREIGNER_BUY,TRADEVALUE_OTHERFORIGNER_BUY,TRADEVALUE_FINANCE_NET,TRADEVALUE_INSURANCE_NET,TRADEVALUE_INVESTORTRUST_NET,TRADEVALUE_PRIVATE_NET,TRADEVALUE_BANK_NET,TRADEVALUE_OTHERFINANCE_NET,TRADEVALUE_OTHERFUND_NET,TRADEVALUE_OTHERCORPORATION_NET,TRADEVALUE_INDIVIDUAL_NET,TRADEVALUE_FOREIGNER_NET,TRADEVALUE_OTHERFORIGNER_NET
39,2022-10-07,1785412,54892,106647,331186,7008,318,6834773,117764,3062451,4580064,6298,005930,1038781,39275,179409,182858,3149,36832,7278460,65353,2011638,6048151,2907,-746631,-15617,72762,-148328,-3859,36514,443687,-52411,-1050813,1468087,-3391,100362700100,3087299800,6012562700,18659970400,393849900,17787000,383926661700,6621898100,172451225900,257138103668,355087200,58455846400,2222720500,10114970400,10308792800,178125100,2080950200,408693840100,3687645300,112915976300,340204811668,163467700,-41906853700,-864579300,4102407700,-8351177600,-215724800,2063163200,24767178400,-2934252800,-59535249600,83066708000,-191619500
40,2022-10-06,1439256,115362,49964,88369,10638,8816,5924183,106792,3955788,3230927,14351,005930,1080303,67531,167574,91033,24429,7350,5718731,29893,2630672,5108863,18067,-358953,-47831,117610,2664,13791,-1466,-205452,-76899,-1325116,1877936,3716,81506780900,6536923100,2834669400,5018436100,599167800,502569200,336454045100,6058403200,224773812400,182981179000,815776900,61229573600,3836060700,9520544600,5170564300,1381385300,417605100,324682456100,1695211600,149312433700,289807973400,1027954700,-20277207300,-2700862400,6685875200,152128200,782217500,-84964100,-11771589000,-4363191600,-75461378700,106826794400,212177800
41,2022-10-05,3785086,368101,229149,147434,11472,390,7113495,28634,5134983,5591210,49016,005930,866528,123428,359376,185045,5377,7327,7663932,61313,3595631,9582169,8844,-2918558,-244673,130227,37611,-6095,6937,550437,32679,-1539352,3990959,-40172,213085890100,20584481300,12867192900,8283482900,642324800,22101900,398955498400,1609021900,289147246200,313989373418,2747434500,48535175700,6954276800,20171397100,10432500000,301067900,411741900,429608591600,3451567100,202081675700,539490337318,495717200,-164550714400,-13630204500,7304204200,2149017100,-341256900,389640000,30653093200,1842545200,-87065570500,225500963900,-2251717300
42,2022-10-04,2334558,77047,107404,38153,46050,2556,4822599,63687,6196967,5433384,26030,005930,1220432,155531,399312,289848,1098,2039,5074692,22473,2130758,9816810,35442,-1114126,78484,291908,251695,-44952,-517,252093,-41214,-4066209,4383426,9412,128708850400,4252386200,5926201200,2107965100,2541242800,140941800,266197491000,3517221200,342084947800,299937780700,1437641500,67377981700,8592239700,22071985700,16011366700,60719500,112608400,279920921500,1240926300,117638997800,541868854000,1956068400,-61330868700,4339853500,16145784500,13903401600,-2480523300,-28333400,13723430500,-2276294900,-224445950000,241931073300,518426900
43,2022-09-30,2512009,36537,95798,134175,13139,50,6630765,27748,5023350,8003851,25827,005930,2365959,81407,591710,182947,2457,394,6782005,31250,3160109,9290345,14666,-146050,44870,495912,48772,-10682,344,151240,3502,-1863241,1286494,-11161,133013514800,1942266700,5076165800,7079429000,694969700,2600000,349560147900,1460650200,265029093100,422115448900,1369374400,124549238100,4322571300,31374084800,9721269100,131019800,20926900,357269622500,1649518400,166245410700,491281606000,778392900,-8464276700,2380304600,26297919000,2641840100,-563949900,18326900,7709474600,188868200,-98783682400,69166157100,-590981500
44,2022-09-29,2254111,52479,98323,26620,0,27393,3684867,36045,3188580,4506721,6941,005930,1705489,33881,128770,90357,7830,3650,3999069,47116,3549774,4307583,8561,-548622,-18598,30447,63737,7830,-23743,314202,11071,361194,-199138,1620,119688339000,2788868700,5218356900,1412174800,0,1455468700,196085866400,1915834900,169339883100,239456843800,369045200,90434559600,1802132900,6818675100,4803051100,415439000,193463700,212800557700,2510637200,188715845600,228781584000,454735600,-29253779400,-986735800,1600318200,3390876300,415439000,-1262005000,16714691300,594802300,19375962500,-10675259800,85690400
45,2022-09-28,2264315,36839,124419,228811,43000,8447,6724348,79219,3765393,6708731,7607,005930,2150440,64889,178180,94606,62227,17155,6561356,112614,6450471,4270011,29180,-113875,28050,53761,-134205,19227,8708,-162992,33395,2685078,-2438720,21573,121100035400,1955575200,6596011500,12127270300,2280860000,445403200,358835665500,4191993000,200017060500,356712552114,403152500,113981349300,3444864200,9493698800,5063765100,3331461200,907436800,350107439100,5987945100,343192636700,227600476714,1554506200,-7118686100,1489289000,2897687300,-7063505200,1050601200,462033600,-8728226400,1795952100,143175576200,-129112075400,1151353700
46,2022-09-27,968878,77712,104365,169337,8000,884,6492544,65456,3026362,5707638,10113,005930,2719070,134177,227361,73985,388,3209,6410906,29440,2681713,4343015,8025,1750192,56465,122996,-95352,-7612,2325,-81638,-36016,-344649,-1364623,-2088,52277702100,4186051700,5627428100,9132148900,430942700,47819400,350123304400,3536455200,163283045300,307952162609,547357300,146782510900,7246736100,12277327500,3989453900,20942700,173226000,345550239400,1587517000,144658949100,234424815609,432699500,94504808800,3060684400,6649899400,-5142695000,-410000000,125406600,-4573065000,-1948938200,-18624096200,-73527347000,-114657800
47,2022-09-26,405266,130845,147524,195355,0,2477,4011914,88885,4034265,5982435,9483,005930,3413249,57332,184134,93504,19784,1751,3860016,70893,3506193,3788352,13241,3007983,-73513,36610,-101851,19784,-726,-151898,-17992,-528072,-2194083,3758,21797904400,7029574100,7935038200,10524855000,0,133282000,215934861800,4781461200,216887275000,321819852400,509169200,183618764800,3088979500,9934303800,5040829000,1064006200,94251100,207617291900,3810601000,188511007000,203861520200,711718800,161820860400,-3940594600,1999265600,-5484026000,1064006200,-39030900,-8317569900,-970860200,-28376268000,-117958332200,202549600
48,2022-09-23,744654,89791,141971,313874,8091,2993,3498255,37865,3251447,2461676,5347,005930,644671,52805,35290,27596,36382,0,2978164,65456,3294412,3399642,21546,-99983,-36986,-106681,-286278,28291,-2993,-520091,27591,42965,937966,16199,40599966900,4892188900,7730970500,17091340100,441704600,163115200,190816472200,2061871200,177263716600,134151023000,291252900,35148162100,2877649300,1923485900,1504041900,1984710400,0,162369644600,3572697100,179578281300,185371814200,1173135300,-5451804800,-2014539600,-5807484600,-15587298200,1543005800,-163115200,-28446827600,1510825900,2314564700,51220791200,881882400
49,2022-09-22,1831825,41446,246510,93580,23002,1898,3509623,38810,2736825,4253972,9019,005930,302951,71565,207004,72121,24173,0,3239970,170064,6444283,2230885,23494,-1528874,30119,-39506,-21459,1171,-1898,-269653,131254,3707458,-2023087,14475,99690293200,2252532400,13408483000,5089611600,1251307100,103223400,191104511300,2111766600,148928574600,231627013900,490784500,16488211200,3899364800,11266340400,3928711300,1315556700,0,176354208100,9252071800,350789809000,121485233800,1278594500,-83202082000,1646832400,-2142142600,-1160900300,64249600,-103223400,-14750303200,7140305200,201861234400,-110141780100,787810000
50,2022-09-21,1013252,34941,62230,164609,4865,100,3238830,31518,2044319,5266528,2508,005930,1169865,6812,57193,26140,10313,0,3006356,72641,5266767,2230099,17514,156613,-28129,-5037,-138469,5448,-100,-232474,41123,3222448,-3036429,15006,55959754000,1926789000,3434040100,9083144900,268314800,5520000,178885947600,1737873000,112841247800,290736311400,138478500,64602282900,376351800,3159051900,1443579000,569458000,0,165925582300,4007995200,290735939900,123230359200,966820900,8642528900,-1550437200,-274988200,-7639565900,301143200,-5520000,-12960365300,2270122200,177894692100,-167505952200,828342400
51,2022-09-20,779195,39955,31298,138392,1500,140,4601082,9523,1606666,6826027,7687,005930,1970171,24784,75396,11192,54,5185,4445318,74163,3979886,3422219,33097,1190976,-15171,44098,-127200,-1446,5045,-155764,64640,2373220,-3403808,25410,43714516700,2236258100,1754490000,7742182700,84000000,7940000,258560590800,533120100,90385139200,382878799615,434482600,110751125200,1388822000,4221885500,626639800,3026000,289526800,249994963400,4158878700,223248706000,191786994715,1860951700,67036608500,-847436100,2467395500,-7115542900,-80974000,281586800,-8565627400,3625758600,132863566800,-191091804900,1426469100
52,2022-09-19,561662,4743,22743,141271,1749,4014,3388964,21446,2792136,5333475,6450,005930,1128270,47961,161467,106426,96,2030,3425423,70509,2711741,4617738,6992,566608,43218,138724,-34845,-1653,-1984,36459,49063,-80395,-715737,542,31732743700,266862800,1280076700,7939642300,98753900,224913600,191558069100,1208029900,157857513300,301105429000,364645700,63648504400,2707966300,9139676100,6011563500,5413600,114554200,193573935500,3996329600,153130401200,260913509100,394826500,31915760700,2441103500,7859599400,-1928078800,-93340300,-110359400,2015866400,2788299700,-4727112100,-40191919900,30180800
53,2022-09-16,1639702,11638,98379,369681,3115,2098,3806777,23301,1780204,5718102,3506,005930,340058,87800,25211,57174,0,2000,3742269,43924,3697844,5450725,9498,-1299644,76162,-73168,-312507,-3115,-98,-64508,20623,1917640,-267377,5992,91523607500,649506400,5502735500,20658809400,174401200,117453400,212688780500,1304743500,99521857800,320117759638,196028000,18995647200,4913301700,1408622500,3212561500,0,111500000,208936429600,2451154900,206300285000,305596542738,529637700,-72527960300,4263795300,-4094113000,-17446247900,-174401200,-5953400,-3752350900,1146411400,106778427200,-14521216900,333609700
54,2022-09-15,1694090,29550,181330,231184,163,0,3314420,17591,1229052,4964451,2988,005930,925021,45663,35524,1500,42083,1949,3338627,132662,4990466,2132261,19063,-769069,16113,-145806,-229684,41920,1949,24207,115071,3761414,-2832190,16075,95616824300,1655074500,10222514200,13017184000,9209500,0,187142668700,991221300,69295356300,279522927100,168731600,52089854900,2569098300,2002711700,84300000,2374293500,109879400,188469922500,7497554900,281248429400,120119887400,1075779500,-43526969400,914023800,-8219802500,-12932884000,2365084000,109879400,1327253800,6506333600,211953073100,-159403039700,907047900
55,2022-09-14,2514687,14095,172419,187938,0,70,3416833,41089,2670145,3499832,7853,005930,977881,24831,92050,36008,25028,0,3805013,40966,4106275,3405016,11893,-1536806,10736,-80369,-151930,25028,-70,388180,-123,1436130,-94816,4040,142589655100,799678500,9779875600,10620097300,0,3973000,193941425400,2316115800,151181153900,198230013700,444018700,55480468800,1411064200,5244012700,2041762700,1421771300,0,215881135600,2320548300,232468526000,192963970800,672746600,-87109186300,611385700,-4535862900,-8578334600,1421771300,-3973000,21939710200,4432500,81287372100,-5266042900,228727900
56,2022-09-13,541680,45055,71890,183539,20000,4723,3934752,70890,7164058,5116988,13006,005930,2934231,167479,392318,383334,24256,11852,4084763,70488,2661574,6430442,5844,2392551,122424,320428,199795,4256,7129,150011,-402,-4502484,1313454,-7162,31342630900,2611422800,4173629200,10651358000,1162000000,273612400,227663928400,4108212700,413447367400,294830151755,751577800,169518670100,9676232200,22718015400,22133764200,1413345400,685605100,236098916600,4081233500,153825608600,370526480955,338019300,138176039200,7064809400,18544386200,11482406200,251345400,411992700,8434988200,-26979200,-259621758800,75696329200,-413558500
57,2022-09-08,1683791,124615,181951,83075,0,5737,5373221,227608,1997020,8318357,4641,005930,3756881,146885,202088,321879,6000,9588,5130164,94148,5952439,2359480,20464,2073090,22270,20137,238804,6000,3851,-243057,-133460,3955419,-5958877,15823,93979977900,6945959700,10166435000,4631186100,0,320688100,300697596900,12721205300,111758006400,464885830100,259512500,209820655700,8169288600,11275317700,18036165600,334500000,537899600,287358093800,5258902800,332772789500,131659058200,1143726500,115840677800,1223328900,1108882700,13404979500,334500000,217211500,-13339503100,-7462302500,221014783100,-333226771900,884214000
58,2022-09-07,1407936,213330,197091,96840,16000,0,4139343,46237,2256356,8998355,13366,005930,1015837,53763,88662,82604,12145,13301,3644747,121242,7934097,4394763,23693,-392099,-159567,-108429,-14236,-3855,13301,-494596,75005,5677741,-4603592,10327,79038077100,11956507400,11044237500,5424676500,896000000,0,232572898400,2591048700,126621213900,504801225800,749294400,56935718200,3015725900,4972178800,4634458100,680672200,746000600,204645450600,6806708300,445231369700,246697356400,1329540900,-22102358900,-8940781500,-6072058700,-790218400,-215327800,746000600,-27927447800,4215659600,318610155800,-258103869400,580246500
59,2022-09-06,687004,42790,35245,10808,0,0,3212026,25206,1570231,1912857,6919,005930,516180,33453,49201,109815,44636,15482,2752349,46647,2742733,1187449,5141,-170824,-9337,13956,99007,44636,15482,-459677,21441,1172502,-725408,-1778,39258769100,2440949900,2010608900,617394800,0,0,183744780600,1442022000,89804000500,109438192200,395320700,29523524900,1911284600,2814070500,6280000200,2549762700,884556900,157462251100,2669011300,156816848000,67946378100,294350400,-9735244200,-529665300,803461600,5662605400,2549762700,884556900,-26282529500,1226989300,67012847500,-41491814100,-100970300
60,2022-09-05,503130,139552,92586,31482,751,250,3517958,16247,2614155,4489519,20347,005930,1435669,43595,95046,86906,9000,445,3319079,97541,4321589,2000495,16612,932539,-95957,2460,55424,8249,195,-198879,81294,1707434,-2489024,-3735,28797971300,7953650800,5282955100,1800612200,42979000,14375000,201508982800,928978800,149537771800,256855776284,1160003500,82156703300,2490682400,5434354200,4976916800,513300000,25403000,190081824500,5580496600,247219918200,114454751784,949705800,53358732000,-5462968400,151399100,3176304600,470321000,11028000,-11427158300,4651517800,97682146400,-142401024500,-210297700
61,2022-09-02,1510406,116438,150227,182984,405,23169,4714726,29556,1781270,6523912,7217,005930,456185,14726,49834,183397,7008,1393,4355790,148840,7184872,2619264,19001,-1054221,-101712,-100393,413,6603,-21776,-358936,119284,5403602,-3904648,11784,87498820600,6730507800,8693518600,10619572700,23455600,1341306900,273859850400,1716927400,103125621100,378013314051,417472400,26433575400,849057700,2889403800,10643054000,402963200,81058600,252990941100,8642755900,415898349100,152110992051,1098216700,-61065245200,-5881450100,-5804114800,23481300,379507600,-1260248300,-20868909300,6925828500,312772728000,-225902322000,680744300
62,2022-09-01,2922757,35068,218968,664307,870,200,3484016,10719,1303938,6262133,2801,005930,289712,1498,1475,202,11391,2169,3150142,53364,5687659,5694146,14019,-2633045,-33570,-217493,-664105,10521,1969,-333874,42645,4383721,-567987,11218,171065704600,2052868500,12794142800,38893115700,50838300,11680000,204051886200,626813600,76279798500,366383857201,163915200,16964146500,87585300,86250100,11796800,665346600,127028300,184381509100,3122658600,332834760300,333273458401,820080600,-154101558100,-1965283200,-12707892700,-38881318900,614508300,115348300,-19670377100,2495845000,256554961800,-33110398800,656165400
63,2022-08-31,1742300,58018,144869,91525,9000,420,4699747,36065,2666392,4749909,5267,005930,452210,106558,106172,111223,93,3229,3804044,22187,1771476,7820499,5821,-1290090,48540,-38697,19698,-8907,2809,-895703,-13878,-894916,3070590,554,103038237900,3455237700,8579149400,5439727800,537300000,24904000,277723036900,2129091900,157833357000,282247521900,312071400,26834972200,6359933000,6321400800,6620258800,5424000,191633800,224533660500,1306328800,104439092500,464363436100,343495400,-76203265700,2904695300,-2257748600,1180531000,-531876000,166729800,-53189376400,-822763100,-53394264500,182115914200,31424000
64,2022-08-30,741599,84980,133780,160447,20200,3709,2789039,4072,1733642,4016041,2535,005930,623532,45973,33829,91288,847,28761,2668625,49257,4021651,2116634,9647,-118067,-39007,-99951,-69159,-19353,25052,-120414,45185,2288009,-1899407,7112,43500899200,4975161100,7849774000,9397527800,1181280000,216858400,163419822000,238154300,101639836200,235059534500,148821000,36532609700,2701148100,1988132700,5380324900,49922100,1691386400,156244240400,2881087200,235345560300,124248976500,564280200,-6968289500,-2274013000,-5861641300,-4017202900,-1131357900,1474528000,-7175581600,2642932900,133705724100,-110810558000,415459200
65,2022-08-29,2224616,130484,289695,428392,0,150,2660103,27164,1985152,2091930,3643,005930,407129,31769,19099,37726,12083,12403,2185889,62303,5515768,1534621,22539,-1817487,-98715,-270596,-390666,12083,12253,-474214,35139,3530616,-557309,18896,130629678500,7647595200,16983252300,25148633600,0,8790000,156207143200,1594661500,116503489700,122747061400,213895500,23902318300,1865380100,1121905100,2215272300,708576100,728560900,128324485600,3655670600,323754209000,90084751400,1323071500,-106727360200,-5782215100,-15861347200,-22933361300,708576100,719770900,-27882657600,2061009100,207250719300,-32662310000,1109176000
66,2022-08-26,1239453,63640,31740,141026,18800,7162,3724908,21331,2432542,1814636,4757,005930,1395680,113315,167559,308933,5895,3093,3450771,90657,1454941,2506011,3140,156227,49675,135819,167907,-12905,-4069,-274137,69326,-977601,691375,-1617,74928797100,3823463600,1911179300,8466352900,1139760000,431329900,224768556600,1284766700,146841144100,109157804850,287154900,83940975800,6835876000,10129923000,18669660100,355918000,186893300,208401171800,5469717400,87675389500,151185682550,189102500,9012178700,3012412400,8218743700,10203307200,-783842000,-244436600,-16367384800,4184950700,-59165754600,42027877700,-98052400
67,2022-08-25,672738,94919,73486,74231,4000,3700,1650753,16507,1857297,1316437,3834,005930,641073,136264,38973,34366,33,1380,1444712,82419,1471586,1912176,4920,-31665,41345,-34513,-39865,-3967,-2320,-206041,65912,-385711,595739,1086,39953389100,5647168900,4374575900,4415058000,238800000,220890000,98076978300,982012900,110414209200,78230106800,227748100,38147538400,8114641700,2320117600,2043912900,1960200,81993400,85749193000,4894672000,87437901000,113696083000,292924000,-1805850700,2467472800,-2054458300,-2371145100,-236839800,-138896600,-12327785300,3912659100,-22976308200,35465976200,65175900
68,2022-08-24,1335353,18907,187052,226781,2901,400,2032252,22501,1284844,3772538,4957,005930,426190,100097,36049,33620,17015,1695,1344793,68680,2943857,3908764,7726,-909163,81190,-151003,-193161,14114,1295,-687459,46179,1659013,136226,2769,78957644800,1116439200,11049362700,13399652100,171261700,23670000,120183722900,1328669000,75952730100,222930816000,292996700,25212774300,5917392500,2134725400,1989753600,1005568000,100203700,79532398400,4059448200,174023420700,230974650700,456629700,-53744870500,4800953300,-8914637300,-11409898500,834306300,76533700,-40651324500,2730779200,98070690600,8043834700,163633000
69,2022-08-23,927986,83056,594957,238535,401,0,2706178,71289,1659070,2757177,2980,005930,908121,59157,31588,11323,8066,1181,2133842,28313,4052379,1792758,14901,-19865,-23899,-563369,-227212,7665,1181,-572336,-42976,2393309,-964419,11921,54959925600,4912038000,35221852900,14116895400,23733800,0,160481498000,4215815400,98339072000,163210064000,176458200,53876925100,3506304300,1872112800,671629500,476708800,69942400,126492858200,1676664700,240029140100,106102189300,882878100,-1083000500,-1405733700,-33349740100,-13445265900,452975000,69942400,-33988639800,-2539150700,141690068100,-57107874700,706419900
70,2022-08-22,1421191,46098,76427,88348,0,1405,2609650,27922,1654623,2331699,2502,005930,925474,30019,26921,18950,22194,0,1969397,39434,3078709,2135854,12913,-495717,-16079,-49506,-69398,22194,-1405,-640253,11512,1424086,-195845,10411,85305321400,2762603600,4583141300,5301999600,0,84273900,156668442100,1675048100,99286672900,139914563900,150199300,55544279100,1802774600,1617180000,1138260700,1331824800,0,118196077200,2365554100,184721135100,128241284000,773896500,-29761042300,-959829000,-2965961300,-4163738900,1331824800,-84273900,-38472364900,690506000,85434462200,-11673279900,623697200
71,2022-08-19,922724,24841,97209,9571,10000,0,2576445,19264,1308367,1952215,3043,005930,849985,67697,271988,368310,606,5640,1735879,39249,1940494,1640674,3157,-72739,42856,174779,358739,-9394,5640,-840566,19985,632127,-311541,114,56266253500,1511058200,5907966300,581978800,608435000,0,157023262200,1174723800,79665426300,118984557800,185098000,51729689200,4123523900,16571852900,22521633200,36905400,343965000,105818847500,2388896500,118178846100,100002365900,192234300,-4536564300,2612465700,10663886600,21939654400,-571529600,343965000,-51204414700,1214172700,38513419800,-18982191900,7136300
72,2022-08-18,2112498,10615,122051,31755,17000,1450,7354101,138680,4672778,1895438,16388,005930,1168537,83163,72300,523126,6500,4130,6435497,21470,1711221,6343661,3149,-943961,72548,-49751,491371,-10500,2680,-918604,-117210,-2961557,4448223,-13239,128722265200,648492300,7444455700,1912252100,1044600000,88250000,447465657800,8477014000,285385978500,115794455300,1003528100,71542859100,5097565100,4428787700,32096961000,395850000,251151000,391421038500,1317992900,104455048000,386787753900,191941800,-57179406100,4449072800,-3015668000,30184708900,-648750000,162901000,-56044619300,-7159021100,-180930930500,270993298600,-811586300
73,2022-08-17,865231,77947,97677,2411,8,500,4698269,205105,1441800,1670472,2098,005930,1232076,24715,33791,23842,21000,119,4231304,16618,2229185,1242545,6323,366845,-53232,-63886,21431,20992,-381,-466965,-188487,787385,-427927,4225,52480915800,4717902500,5917230600,146031200,485600,30200000,285325451700,12439572500,87519331700,101354500300,127463800,74817279900,1500325300,2046333700,1445599600,1274400000,7257200,256939050400,1005423500,135220552500,75419362200,383501400,22336364100,-3217577200,-3870896900,1299568400,1273914400,-22942800,-28386401300,-11434149000,47701220800,-25935138100,256037600
74,2022-08-16,792446,26311,48801,11386,21000,2539,5580125,42199,3826105,4671529,14286,005930,969823,108404,54431,51661,321,46,5334178,217759,2422537,5869724,7843,177377,82093,5630,40275,-20679,-2493,-245947,175560,-1403568,1198195,-6443,48304683000,1607399400,2972324100,694158300,1283309800,154616500,340754018200,2575147800,233646726300,284651603000,872155800,59313200900,6640766300,3330545800,3164099100,19659100,2783000,325297638000,13348948900,147853006700,358068038900,477455500,11008517900,5033366900,358221700,2469940800,-1263650700,-151833500,-15456380200,10773801100,-85793719600,73416435900,-394700300
75,2022-08-12,631939,161126,103809,52274,8000,0,4237187,25492,3048093,2510971,7767,005930,1153284,21658,100426,5633,0,3650,3863697,377283,2745538,2501147,14342,521345,-139468,-3383,-46641,-8000,3650,-373490,351791,-302555,-9824,6575,37975660800,9695983700,6246718600,3131841700,481600000,0,254830627200,1533075300,183493020400,150937008500,467663900,69386776400,1304763400,6056285600,339775400,0,219206700,232157857800,22750115000,165210657700,150503381300,864380800,31411115600,-8391220300,-190433000,-2792066300,-481600000,219206700,-22672769400,21217039700,-18282362700,-433627200,396716900
76,2022-08-11,1171767,51470,99320,24204,4846,0,5952395,19446,2629035,5184767,4691,005930,2964051,53060,69940,182562,6460,340,5321698,53043,3449934,3032864,7989,1792284,1590,-29380,158358,1614,340,-630697,33597,820899,-2151903,3298,70045556600,3065057900,5927594700,1442865900,289419200,0,355225512200,1160454700,156951927600,309350618800,279896400,177146770700,3173911900,4178786600,10886482400,384981300,20330000,317356570100,3168080800,205737203400,181209249300,476537500,107101214100,108854000,-1748808100,9443616500,95562100,20330000,-37868942100,2007626100,48785275800,-128141369500,196641100
77,2022-08-10,1154709,223283,563822,181135,416,0,7681271,94576,2508511,5673218,3408,005930,634805,9977,71983,125040,18715,1060,6452940,243633,6807993,3692715,25488,-519904,-213306,-491839,-56095,18299,1060,-1228331,149057,4299482,-1980503,22080,68097889500,13161535000,33194057300,10661699500,24492100,0,452801494600,5566912000,147809468100,334074689294,200617500,37383379600,589025200,4248229400,7382726800,1105426800,62465000,380086633800,14352660300,400993362100,217887133194,1501812700,-30714509900,-12572509800,-28945827900,-3278972700,1080934700,62465000,-72714860800,8785748300,253183894000,-116187556100,1301195200
78,2022-08-09,578206,143031,580318,125894,27493,1699,6528130,23990,2801379,7436630,4400,005930,1061726,10843,124891,48430,10150,3570,6903376,48344,6387351,3614583,37906,483520,-132188,-455427,-77464,-17343,1871,375246,24354,3585972,-3822047,33506,34682620900,8568876400,34779540600,7537338700,1645037400,101794900,391571317500,1437511900,167830616200,445841764800,263903300,63674577600,650611500,7494026400,2909110500,608100000,214527000,414094874800,2895539000,382879880900,216565931500,2273143400,28991956700,-7918264900,-27285514200,-4628228200,-1036937400,112732100,22523557300,1458027100,215049264700,-229275833300,2009240100
79,2022-08-08,1541736,250547,286951,301006,772,50,4851409,11037,1511028,2551444,7170,005930,430339,12089,148019,41744,5921,30,4735610,24082,3620623,2267102,27591,-1111397,-238458,-138932,-259262,5149,-20,-115799,13045,2109595,-284342,20421,93922769300,15243385300,17453129400,18324980500,47031000,3045000,295530217900,672703100,92001240800,155385684400,436120200,26176064600,736570700,9014305800,2541692500,360010100,1830000,288330313400,1466931700,220472929300,138240578300,1679080500,-67746704700,-14506814600,-8438823600,-15783288000,312979100,-1215000,-7199904500,794228600,128471688500,-17145106100,1242960300
80,2022-08-05,735110,21495,77307,9439,0,173,4026118,46728,1502697,3142487,6066,005930,1020467,128622,62685,42195,9454,8802,3937417,12803,1783517,2545365,16293,285357,107127,-14622,32756,9454,8629,-88701,-33925,280820,-597122,10227,45221946100,1321957900,4753227700,580192700,0,10639500,247668431100,2875096300,92451174500,193326790400,373088600,62756600200,7927554500,3862582900,2598655700,582265800,542247100,242181790700,787287900,109708583500,156633551900,1001424600,17534654100,6605596600,-890644800,2018463000,582265800,531607600,-5486640400,-2087808400,17257409000,-36693238500,628336000
81,2022-08-04,1385359,27672,82028,28730,3000,269,4003053,20359,1800873,1757184,16912,005930,473762,48772,114551,135750,16000,2404,3978982,25117,1651073,2674429,4599,-911597,21100,32523,107020,13000,2135,-24071,4758,-149800,917245,-12313,85273218900,1703890200,5053091600,1768757800,184500000,16543500,246450564200,1253508500,110946282200,108143965100,1041486800,29182600600,3008239900,7061410900,8367340200,986800000,148301400,244944074300,1547154500,101632623800,164674266900,282996300,-56090618300,1304349700,2008319300,6598582400,802300000,131757900,-1506489900,293646000,-9313658400,56530301800,-758490500
